study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB8308	SAMEA3218674	ERS645182	ERX1495242	ERR1424660	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR1424660/ERR1424660_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR1424660/ERR1424660_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR1424660/ERR1424660_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR1424660/ERR1424660_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_E03.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_E03.bam.bai	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_E03.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_E03.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR142/000/ERR1424660	ftp.sra.ebi.ac.uk/vol1/err/ERR142/000/ERR1424660		
PRJEB8308	SAMEA3218645	ERS645153	ERX1495243	ERR1424661	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/001/ERR1424661/ERR1424661_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/001/ERR1424661/ERR1424661_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/001/ERR1424661/ERR1424661_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/001/ERR1424661/ERR1424661_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_F01.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_F01.bam.bai	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_F01.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_F01.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR142/001/ERR1424661	ftp.sra.ebi.ac.uk/vol1/err/ERR142/001/ERR1424661		
PRJEB8308	SAMEA3218648	ERS645156	ERX1495244	ERR1424662	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/002/ERR1424662/ERR1424662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/002/ERR1424662/ERR1424662_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/002/ERR1424662/ERR1424662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/002/ERR1424662/ERR1424662_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_F02.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_F02.bam.bai	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_F02.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_F02.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR142/002/ERR1424662	ftp.sra.ebi.ac.uk/vol1/err/ERR142/002/ERR1424662		
PRJEB8308	SAMEA3218670	ERS645178	ERX1495245	ERR1424663	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR1424663/ERR1424663_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR1424663/ERR1424663_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR1424663/ERR1424663_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR1424663/ERR1424663_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_F03.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_F03.bam.bai	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_F03.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_F03.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR142/003/ERR1424663	ftp.sra.ebi.ac.uk/vol1/err/ERR142/003/ERR1424663		
PRJEB8308	SAMEA3218649	ERS645157	ERX1495246	ERR1424664	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/004/ERR1424664/ERR1424664_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/004/ERR1424664/ERR1424664_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/004/ERR1424664/ERR1424664_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/004/ERR1424664/ERR1424664_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_G01.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_G01.bam.bai	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_G01.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_G01.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR142/004/ERR1424664	ftp.sra.ebi.ac.uk/vol1/err/ERR142/004/ERR1424664		
PRJEB8308	SAMEA3218652	ERS645160	ERX1495247	ERR1424665	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/005/ERR1424665/ERR1424665_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/005/ERR1424665/ERR1424665_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/005/ERR1424665/ERR1424665_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/005/ERR1424665/ERR1424665_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_G02.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_G02.bam.bai	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_G02.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_G02.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR142/005/ERR1424665	ftp.sra.ebi.ac.uk/vol1/err/ERR142/005/ERR1424665		
PRJEB8308	SAMEA3218680	ERS645188	ERX1495248	ERR1424666	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/006/ERR1424666/ERR1424666_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/006/ERR1424666/ERR1424666_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/006/ERR1424666/ERR1424666_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/006/ERR1424666/ERR1424666_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_G03.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_G03.bam.bai	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_G03.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_G03.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR142/006/ERR1424666	ftp.sra.ebi.ac.uk/vol1/err/ERR142/006/ERR1424666		
PRJEB8308	SAMEA3218653	ERS645161	ERX1495249	ERR1424667	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/007/ERR1424667/ERR1424667_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/007/ERR1424667/ERR1424667_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/007/ERR1424667/ERR1424667_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/007/ERR1424667/ERR1424667_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_H01.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_H01.bam.bai	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_H01.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_H01.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR142/007/ERR1424667	ftp.sra.ebi.ac.uk/vol1/err/ERR142/007/ERR1424667		
PRJEB8308	SAMEA3218656	ERS645164	ERX1495250	ERR1424668	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/008/ERR1424668/ERR1424668_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/008/ERR1424668/ERR1424668_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/008/ERR1424668/ERR1424668_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/008/ERR1424668/ERR1424668_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_H02.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_H02.bam.bai	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_H02.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_H02.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR142/008/ERR1424668	ftp.sra.ebi.ac.uk/vol1/err/ERR142/008/ERR1424668		
PRJEB8308	SAMEA3218671	ERS645179	ERX1495251	ERR1424669	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/009/ERR1424669/ERR1424669_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/009/ERR1424669/ERR1424669_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/009/ERR1424669/ERR1424669_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/009/ERR1424669/ERR1424669_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_H03.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_H03.bam.bai	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_H03.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005057-DNA_H03.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR142/009/ERR1424669	ftp.sra.ebi.ac.uk/vol1/err/ERR142/009/ERR1424669		
PRJEB8308	SAMEA3218646	ERS645154	ERX1495252	ERR1424670	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR1424670/ERR1424670_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR1424670/ERR1424670_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR1424670/ERR1424670_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR1424670/ERR1424670_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005058-DNA_A01.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005058-DNA_A01.bam.bai	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005058-DNA_A01.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005058-DNA_A01.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR142/000/ERR1424670	ftp.sra.ebi.ac.uk/vol1/err/ERR142/000/ERR1424670		
PRJEB8308	SAMEA3218676	ERS645184	ERX1495253	ERR1424671	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/001/ERR1424671/ERR1424671_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/001/ERR1424671/ERR1424671_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/001/ERR1424671/ERR1424671_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/001/ERR1424671/ERR1424671_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005058-DNA_A02.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005058-DNA_A02.bam.bai	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005058-DNA_A02.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005058-DNA_A02.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR142/001/ERR1424671	ftp.sra.ebi.ac.uk/vol1/err/ERR142/001/ERR1424671		
PRJEB8308	SAMEA3218682	ERS645190	ERX1495254	ERR1424672	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/002/ERR1424672/ERR1424672_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/002/ERR1424672/ERR1424672_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/002/ERR1424672/ERR1424672_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/002/ERR1424672/ERR1424672_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005058-DNA_A03.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005058-DNA_A03.bam.bai	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005058-DNA_A03.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005058-DNA_A03.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR142/002/ERR1424672	ftp.sra.ebi.ac.uk/vol1/err/ERR142/002/ERR1424672		
PRJEB8308	SAMEA3218650	ERS645158	ERX1495255	ERR1424673	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR1424673/ERR1424673_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR1424673/ERR1424673_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR1424673/ERR1424673_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR1424673/ERR1424673_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005058-DNA_B01.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005058-DNA_B01.bam.bai	ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005058-DNA_B01.bam;ftp.sra.ebi.ac.uk/vol1/ERA626/ERA626169/bam/LP6005058-DNA_B01.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR142/003/ERR1424673	ftp.sra.ebi.ac.uk/vol1/err/ERR142/003/ERR1424673		
